lat,lon,city_name,year,cluster
34.5,-4.55,Ain Mediouna,1982,Low
31.6667,-7.0667,Sidi Yakoub,1982,High
34.1667,-4.5,Ain Legdah,1982,Medium
32.3037,-3.9861,Toulal,1982,High
32.8808,-5.0542,Itzer,1982,Medium
33.6681,-7.2514,Beni Yakhlef,1982,Medium
33.2517,-5.0259,Timahdit,1982,Medium
33.8261,-6.9039,Sidi Yahya Zaer,1982,Medium
35.1833,-4.0,Izmorene,1982,Low
31.5145,-8.7555,Jafra,1982,High
30.4969,-8.8211,Sidi Yahia,1982,Medium
31.6806,-7.7281,Jaidte Lbatma,1982,High
35.1069,-3.0656,Beni Sidal Louta,1982,Medium
32.3516,-8.8744,Jamaat Shaim,1982,Medium
32.6833,-5.5833,Sidi Yahia Sawad,1982,High
30.8434,-9.8186,Iskourane,1982,Medium
34.5897,-4.4514,Beni Oulid,1982,Low
34.3058,-6.3058,Sidi Yahia El Gharb,1982,Medium
34.5949,-2.372,Ain Lehjer,1982,Low
34.4314,-4.9642,Jbabra,1982,Medium
32.1154,-8.7587,Jdour,1982,Medium
33.5881,-6.4264,Jemaat Moul Blad,1982,Medium
32.8167,-8.5,Sidi Smai'il,1982,High
34.4333,-5.4,Beni Oual Sehira,1982,Medium
31.5339,-7.4872,Touama,1982,High
33.0939,-7.0519,Jemaat Oulad Mhamed,1982,Medium
34.31,-2.16,Jerada,1982,Low
34.26,-5.93,Sidi Slimane,1982,Medium
32.0308,-8.7894,Jnane Bouih,1982,Medium
32.3394,-6.3608,Beni Mellal,1982,Medium
34.6833,-5.45,Sidi Redouane,1982,Medium
33.2925,-7.4406,Jaqma,1982,Medium
35.65,-5.6833,Jouamaa,1982,Low
30.3658,-9.5381,Inezgane,1982,High
31.6706,-8.3456,Sidi Zouine,1982,High
33.85,-4.8667,Bhalil,1982,Medium
30.9931,-8.1528,Ijoukak,1982,Medium
31.1717,-5.6489,Ikniwn,1982,Medium
34.4833,-5.5169,Souk et Tnine Jorf el Mellah,1982,Medium
33.6372,-7.4483,Ain Harrouda,1982,Medium
35.4542,-5.6125,Bghaghza,1982,Low
35.1333,-3.0333,Iksane,1982,Medium
31.2647,-6.5906,Toundout,1982,Medium
32.8938,-6.245,Souk el Had-des Beni-Batao,1982,High
30.1675,-9.2322,Imi Mokorn,1982,Medium
35.1167,-5.95,Souakene,1982,Low
31.3094,-6.4992,Imi n'Oulaoun,1982,Medium
31.2156,-9.5461,Imi n-Tlit,1982,Medium
32.0833,-7.05,Bezou,1982,High
30.5047,-5.8563,Beni Zouli,1982,Medium
31.2136,-9.7058,Smimou,1982,Medium
31.177,-8.8504,Imi-n-Tanout,1982,Medium
31.0672,-6.5397,Skoura,1982,Medium
34.9167,-2.3167,Berkane,1982,Low
31.1097,-8.1336,Imigdal,1982,Medium
32.155,-5.6347,Imilchil,1982,High
30.7436,-8.7633,Imoulas,1982,High
32.4833,-7.9167,Skhour Rehamna,1982,High
34.15,-4.8314,Ain Kansara,1982,Medium
30.674,-9.5624,Imouzzer des Ida ou Tanane,1982,Medium
33.6122,-7.1211,Benslimane,1982,Medium
33.7215,-5.0083,Imouzzer Kandar,1982,Medium
33.85,-7.03,Skhirate,1982,Medium
33.3611,-7.6114,Zawyat an Nwacer,1982,Medium
35.1448,-3.8505,Imzouren,1982,Low
34.0263,-5.7949,Ain Jemaa,1982,Medium
35.325,-5.6422,Souk Khmis Bni Arouss,1982,Low
35.4333,-5.4,Zinat,1982,Medium
33.9333,-5.2167,Ain Taoujdat,1982,Medium
32.9,-6.05,Sidi Lamine,1982,High
30.0314,-9.5542,Bellaa,1982,High
31.309,-6.028,Knemis Dades,1982,Medium
34.0999,-2.6219,Sidi Lahsene,1982,Low
32.88,-6.9,Kouribga,1982,High
33.27,-7.5872,Barrechid,1982,Medium
35.5339,-5.2183,Sidi Kasem,1982,Low
34.5833,-4.7333,Timezgana,1982,Low
33.85,-5.0667,Ait Amar,1982,Medium
31.4569,-9.3131,Kourimat,1982,Medium
32.3833,-6.4167,Sidi Jaber,1982,Medium
34.7703,-6.3047,Bahharet Oulad Ayyad,1982,Low
35.0,-5.9,Ksar El Kebir,1982,Low
35.8428,-5.5586,Ksar Lmajaz,1982,Low
34.6,-5.0833,Kissane Ltouqi,1982,Medium
32.8397,-6.6947,Ksar Oulad Azzouz,1982,High
35.8419,-5.5586,Ksar Sghir,1982,Low
34.0697,-4.1203,Bab Boudir,1982,Medium
34.9833,-3.15,Tiztoutine,1982,Medium
34.2933,-6.1594,Ksebia,1982,Medium
30.6142,-5.5223,Ait Athmane,1982,Medium
34.0278,-4.8833,Sidi Harazem,1982,Medium
34.2894,-4.9481,L'Oulja,1982,Medium
32.1594,-8.8267,Sidi Ettiji,1982,Medium
33.43,-5.21,Azrou,1982,Medium
31.9117,-7.335,La'tamna,1982,High
31.8944,-8.9842,Laamarna,1982,High
34.6039,-4.7889,Sidi el Mokhfi,1982,Low
33.6833,-4.8167,Laanoussar,1982,Medium
30.07,-9.155,Ait Ban,1982,Medium
29.3833,-10.1667,Sidi Ifni,1982,High
34.8614,-2.021,Beni Khaled,1982,Low
30.1739,-9.4881,Ait Ali,1982,Medium
31.57,-9.01,Sidi Lmokhtar,1982,High
34.3631,-5.2123,Karia Ba Mohamed,1982,Medium
31.6667,-7.4833,Sidi Rahhal,1982,High
34.7667,-5.95,Kariat Ben Aouda,1982,Medium
35.37,-5.97,Tnine Sidi Lyamani,1982,Low
33.4725,-7.9617,Sidi Rahal,1982,Medium
30.8833,-9.05,Timezgadiouine,1982,Medium
32.475,-6.1497,Kasba Tanora,1982,Medium
35.2569,-2.9342,Beni Enzar,1982,Low
32.6541,-5.9214,Zawyat ech Cheikh,1982,High
31.5592,-9.2483,Kechoulah,1982,High
34.21,-5.7,Sidi Qacem,1982,Medium
34.6575,-3.5331,Ain Zora,1982,Medium
34.5329,-4.2941,Kef el Rhar,1982,Low
35.1536,-2.9861,Beni Bou Yafroun,1982,Low
33.7983,-6.2653,Khmis Sidi Yahia,1982,Medium
30.4167,-9.0333,Kenafif,1982,Medium
34.25,-6.5833,Kenitra,1982,Medium
32.7986,-5.3225,Kerrouchen,1982,Medium
33.5594,-7.3817,Sidi Moussa Ben Ali,1982,Medium
34.9158,-4.5686,Ketama,1982,Low
34.7167,-6.2667,Sidi Mohamed Lahmar,1982,Low
35.0837,-3.4696,Ben Taieb,1982,Medium
33.7808,-5.7822,Ait Ali Mimoune,1982,Medium
32.2236,-9.1278,Khat Azakane,1982,Medium
29.2987,-9.825,Sidi Mbark,1982,Medium
34.4383,-5.6844,Khenichet-sur Ouerrha,1982,Medium
35.7878,-5.4678,Tleta Taghramt,1982,Low
32.93,-5.66,Khenifra,1982,High
32.23,-7.95,Ben Guerir,1982,High
33.1228,-7.6219,Khmis Sidi al 'Aydi,1982,Medium
30.05,-9.6833,Sidi Ouassay,1982,High
35.7167,-5.8,Laaouama,1982,Low
35.15,-2.9667,Iheddadene,1982,Low
32.0333,-6.2,Tilougguit,1982,Medium
32.2914,-3.466,Bni Tajjit,1982,Medium
35.25,-5.1833,Talambote,1982,Medium
33.3,-6.5333,Ezzhiliga,1982,Medium
31.2858,-7.9656,Zawiat Moulay Brahim,1982,High
32.16,-6.35,Wawizaght,1982,Medium
34.0433,-5.0033,Fes,1982,Medium
35.0108,-4.7262,Bni Rzine,1982,Medium
30.25,-9.55,Takad Sahel,1982,High
34.9164,-2.2042,Fezouane,1982,Low
34.95,-5.25,Fifi,1982,Medium
33.6333,-5.5833,Agourai,1982,Medium
34.0476,-4.4289,Tahla,1982,Medium
32.1167,-1.2269,Figuig,1982,Medium
34.7381,-5.5442,Bni Quolla,1982,Medium
35.6519,-5.7328,Ez Zinat,1982,Low
35.85,-5.35,Fnidq,1982,Low
29.9833,-5.5667,Tagounite,1982,Medium
32.3717,-6.2614,Foum el Anser,1982,Medium
32.2167,-5.4333,Tighadouine,1982,High
31.96,-6.98,Foum Jam'a,1982,High
33.15,-5.8333,Aguelmous,1982,Medium
32.65,-7.3833,Bni Khloug,1982,High
30.6281,-5.3556,Taghbalt,1982,Medium
30.0861,-6.8736,Foum Zguid,1982,High
33.6167,-3.55,Fritissa,1982,Medium
32.2381,-6.1194,Tagalft,1982,Medium
35.0228,-4.1408,Bni Hadifa,1982,Medium
30.9167,-6.9167,Warzat,1982,Medium
34.55,-4.8,Galaz,1982,Low
31.4175,-8.4117,Gammasa,1982,Medium
31.3514,-7.9508,Tahannawt,1982,High
30.7047,-8.8819,Tafraoutane,1982,High
30.9903,-8.1772,Talat-n-Ya'qoub,1982,Medium
34.8119,-4.1581,Et Tnine des Beni Ammart,1982,Low
33.2566,-8.5025,El Jadid,1982,Medium
34.0419,-5.9272,El Kansera,1982,Medium
33.7601,-5.4866,Bou Fekrane,1982,Medium
31.3833,-8.3833,Tamazouzt,1982,Medium
32.05,-7.4,El Kelaa des Srarhna,1982,High
31.0833,-9.6756,Tamanar,1982,Medium
32.4442,-6.955,El Khemis des Beni Chegdal,1982,Medium
32.5681,-6.0308,El Ksiba,1982,High
32.9,-6.7833,Bou Djeniba,1982,High
31.8288,-7.5262,Tamallalt,1982,High
33.9342,-4.7381,Aghbalou Aqourar,1982,Medium
29.8502,-9.6575,El Maader El Kabir,1982,Medium
31.2938,-7.176,Talwat,1982,High
31.6281,-6.9444,Tifni,1982,High
30.5167,-6.8167,Aghbar,1982,Medium
30.2167,-8.3833,Wislane,1982,Medium
32.531,-1.9631,Bou Arfa,1982,Medium
32.0989,-7.3861,El Marmouta,1982,High
32.5353,-3.4481,Talsint,1982,Medium
34.0142,-5.4619,El Meghassine,1982,Medium
31.7611,-5.3169,Aghbalou n'Kerdous,1982,High
33.1119,-7.4058,Bou Ahmed,1982,Medium
